AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
25,100,0,40,0,0,80,0,0,0,98,41,100,72,100,0,4,0,19,0,6,0,33,0,61,80,0,0,100
-25,-100,100,-18,0,100,66,100,0,0,-89,25,-100,37,-34,100,100,0,-19,100,100,100,-31,0,-61,-14,0,52,100
0,0,74,-7,0,-100,-100,-1,0,10,52,100,0,100,-66,67,-40,0,38,100,57,55,-2,0,59,55,0,27,-73
64,8,100,100,0,0,100,71,32,100,100,100,13,100,100,-100,-64,35,59,-60,100,100,100,0,-30,9,100,-79,30
54,-8,81,-100,0,49,-100,26,92,-91,-100,-35,-13,100,-93,9,21,-35,41,68,100,-62,-100,0,100,-18,-100,51,-83
-38,100,-100,48,70,-13,100,-100,-13,100,-46,-100,0,77,-7,-65,84,100,53,100,-100,-100,66,0,-100,8,0,83,-74
-15,75,-100,-22,52,-36,-76,-16,-77,-31,-15,-100,0,-25,49,100,81,30,-92,88,-100,5,93,0,43,-6,0,33,0
-4,-100,-100,100,17,0,59,-80,-34,55,0,100,100,53,100,-38,84,100,100,-65,-100,-96,100,74,-72,-100,5,100,27
-61,-75,4,-50,-100,0,-100,100,71,-56,0,23,-100,-66,-87,-44,-21,-100,-100,100,-53,-2,82,-6,100,-2,-5,100,44
76,91,-59,100,83,0,100,-100,-71,-6,0,100,93,-81,100,18,100,100,16,-40,65,0,-34,100,33,100,0,-98,-71
38,100,100,-51,40,46,-100,0,77,100,24,-42,100,15,-100,-20,28,20,40,-62,-75,91,-100,5,100,-18,0,41,77
-100,-28,98,-100,-99,-46,-29,61,-77,-13,-24,87,-100,49,100,-27,-100,100,58,-18,0,-91,30,-90,-82,100,0,30,29
-14,-96,-48,-40,100,55,100,100,0,-63,100,32,-77,100,-81,100,38,-100,34,20,38,100,74,89,100,100,0,0,100
0,96,-100,0,-100,-29,-9,-84,14,1,-100,20,-16,100,-81,85,-72,100,67,-60,44,-100,-100,30,80,-42,100,-69,-91
0,100,-50,0,-63,-26,11,67,38,-100,0,50,100,70,0,-89,-100,-100,61,100,100,100,-100,-100,-100,52,-100,61,64
0,-100,0,0,100,0,31,100,98,38,0,1,100,100,100,100,1,-44,1,-100,-100,-39,35,-71,20,-100,42,6,100
100,100,0,0,86,100,-25,-80,-97,-44,0,100,47,15,100,-54,100,-100,-47,55,-82,100,20,10,19,-7,-42,-1,69
-100,100,100,0,34,-100,100,100,100,86,65,100,-100,-60,-100,59,-45,21,-100,87,89,-100,88,27,-15,45,13,100,100
0,-91,100,0,100,100,6,-57,-83,-10,-43,-66,-98,-75,76,66,20,100,-79,9,-89,28,9,100,90,88,-13,100,-39
100,37,69,97,100,-100,-40,100,40,68,-1,-100,-49,-24,-3,-59,69,-100,100,-19,100,100,100,-32,100,-90,100,-14,-41
100,-100,100,4,100,42,100,-88,-100,-100,100,47,0,100,-100,-100,100,37,-100,-13,19,-100,4,-97,35,70,-100,100,11
-24,0,-100,-100,0,-42,0,100,-10,-44,60,100,100,-100,-73,100,100,100,100,100,-100,87,-100,-39,0,0,100,100,78
0,72,0,-1,0,0,-100,2,0,0,0,0,-36,-100,0,-100,-100,0,0,0,100,-14,0,0,-6,0,0,-100,0
100,8,47,0,74,0,100,-35,0,6,-15,-46,17,100,0,-100,-100,100,79,-100,-100,-93,28,0,-100,-60,83,-100,0
-91,-4,45,100,91,0,100,100,0,-6,-75,100,-81,100,100,-8,-14,-14,-41,-22,0,-69,-84,14,-54,100,-42,-56,100
0,-46,1,100,-21,0,0,-21,0,0,0,-37,0,-71,-13,0,0,0,0,-20,0,0,0,0,0,89,0,100,-100
-29,0,-10,100,100,0,71,-86,0,0,-91,0,0,-100,-87,0,-49,-15,-5,-55,100,0,-100,29,0,100,-100,-2,-65
0,100,0,100,100,19,-100,0,0,0,0,0,0,-7,100,0,0,0,-54,-100,-46,1,0,0,-61,-75,-41,0,-100
-90,-3,100,-100,100,-19,-100,-100,100,0,35,-100,0,100,100,0,-75,-100,-100,-100,-8,-1,83,35,-64,-100,0,-100,100
