AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
38,0,19,13,0,0,0,100,97,0,0,34,0,75,52,0,92,55,0,69,66,0,10,0,0,0,0,0,27
55,100,-19,-13,0,1,0,34,-23,0,0,-34,0,100,-52,0,-5,-55,67,-69,-48,35,31,0,100,0,62,28,-27
100,34,0,0,0,-1,100,-57,-74,0,0,0,0,75,0,16,-21,0,10,0,96,100,-41,100,-56,0,51,-28,0
-12,100,89,0,0,0,-100,-10,0,59,0,0,0,43,100,100,86,0,-71,49,100,-21,0,-92,-44,0,-95,68,89
100,100,-75,89,43,0,0,-67,11,100,0,0,0,100,-4,87,100,0,57,2,-16,-23,100,100,0,54,100,100,-67
-47,-43,100,-89,80,0,100,76,68,-50,100,27,0,-23,-33,92,-45,34,-63,-51,17,-91,36,-100,76,-45,-47,-52,-22
-100,-55,-87,70,-94,100,100,-76,-79,25,-73,100,22,-79,76,-38,-69,42,16,10,100,0,100,-8,-4,100,100,-100,0
36,59,23,-11,-29,-91,-82,0,22,-31,-27,-100,-22,100,-59,30,5,100,73,52,-1,41,-13,100,-7,-100,-7,27,0
-84,100,-50,100,0,58,-41,0,84,52,51,75,0,67,20,-90,100,3,-47,37,100,-41,76,-67,-6,58,-16,95,0
37,-100,100,100,0,-12,0,0,100,-21,-51,-84,27,-9,99,-96,-71,-20,-19,-72,53,100,100,-33,20,-67,-64,-100,0
100,100,-100,13,100,5,66,0,96,-3,5,-18,46,2,-76,-60,100,-100,11,-27,-100,4,-100,0,-59,76,69,10,0
56,-15,94,-39,-45,-51,-100,64,82,-100,-5,82,-55,-46,-59,-41,100,-47,-34,0,-97,-100,-62,0,-3,-17,-18,-17,0
6,-38,-32,100,-55,22,40,37,100,68,0,-82,14,-10,4,100,65,-12,60,0,49,91,-65,4,68,-59,-39,100,100
98,100,-47,74,65,100,-1,-23,100,-29,39,100,100,-100,100,57,-28,13,-46,41,100,-72,-88,72,1,100,52,-100,71
-100,90,100,100,-65,0,6,-4,100,-70,1,-58,52,5,-54,-43,-100,66,37,-41,100,-17,100,16,0,-16,6,2,19
13,-100,-68,-100,0,7,100,-44,44,0,57,-16,-100,-1,-100,-100,-21,-18,-51,0,12,-6,-68,56,44,-84,52,38,-2
-69,-36,-47,-14,70,23,100,15,58,28,66,-25,-84,67,-2,100,100,-36,0,0,37,88,100,-100,-21,100,-49,-56,69
-65,52,0,23,-70,60,-100,-45,75,-28,100,-1,0,100,-12,78,-100,-25,47,11,-100,10,-35,100,-79,-91,-50,-15,32
-100,-58,0,-100,4,-55,-100,0,-58,0,-35,0,83,65,0,-41,54,0,100,35,-5,50,9,-100,41,100,100,40,-93
-53,-100,50,-53,-4,-51,-88,0,18,0,15,100,-83,-37,0,43,34,0,-80,100,-42,64,33,100,-20,7,-59,-40,-81
100,100,-50,-93,0,-100,0,0,100,0,-36,-100,51,-100,100,100,40,0,8,42,39,0,0,100,100,-8,26,59,-69
100,2,0,-100,85,-15,0,0,100,0,34,79,-51,100,5,-100,75,0,34,-100,-100,100,-100,-25,64,-14,-97,7,100
100,100,100,-70,-55,0,0,0,100,0,100,18,0,-4,-8,-18,13,0,-32,15,48,-19,-74,-95,67,-11,72,-66,-100
-33,20,-59,0,100,0,38,0,1,87,89,41,0,-52,11,100,100,0,-77,-19,-8,100,100,100,-5,-83,100,0,-46
-91,-100,-22,0,3,0,100,0,-31,-87,-22,12,0,100,100,5,-82,70,11,-7,100,-11,36,77,-18,100,-76,0,0
-100,0,-9,0,79,0,-68,0,-100,0,0,-60,100,0,100,100,-5,-70,-11,-62,-6,-65,0,100,100,84,100,100,0
-85,-100,-10,100,95,0,-20,94,-100,0,-100,-90,-47,-100,20,28,100,0,93,100,65,-23,-98,25,49,-100,100,-100,0
0,-100,0,100,0,0,0,0,-100,0,-100,0,-53,0,17,-77,-100,0,0,100,100,0,94,-26,100,83,-1,100,0
0,0,0,-100,-4,0,-34,-8,100,0,0,0,0,-15,-9,0,0,0,0,-46,100,-100,-58,100,16,-33,-100,3,0
9,-100,100,-100,-100,100,-16,-86,-100,0,-86,0,63,-71,-63,100,32,0,100,-34,52,-100,100,-28,-100,-59,43,-100,0
-9,-33,-100,0,98,78,0,0,97,41,-1,100,100,65,60,0,-100,70,-100,-100,100,21,-13,61,-88,-1,97,57,0
0,100,100,0,0,0,0,0,-71,59,0,0,100,100,0,-82,-100,0,-2,-35,0,-100,-100,100,-73,-11,82,-60,0
100,71,100,0,100,-3,97,0,0,-100,-47,100,-90,77,-54,75,-31,-70,0,0,32,0,-72,82,-100,0,-50,0,0
0,-87,0,0,0,-45,-92,0,100,0,-3,-100,100,-100,100,-2,1,0,-91,0,100,0,-38,-100,63,0,100,0,0
-5,-29,100,0,0,0,1,100,-59,0,-17,0,100,100,-64,100,100,0,32,0,0,-15,0,100,-100,-48,-100,100,0
0,64,100,0,-100,-78,-6,-1,-33,0,-54,-100,100,0,100,0,-100,0,-32,0,100,0,0,-100,100,0,2,-96,0
-70,100,-100,0,-100,100,0,-71,-7,84,0,0,100,-60,100,1,-60,0,0,0,-57,97,0,0,-100,-15,-93,-4,0
-25,-100,-7,0,-100,75,100,100,-79,-84,0,0,31,27,-65,-100,-19,37,0,0,-100,15,0,-18,100,0,100,0,0
100,100,91,0,-72,-63,-67,-94,100,0,0,0,0,0,100,100,-25,0,0,100,-19,100,0,-54,-35,0,100,0,0
-62,-24,-22,0,-29,-2,0,-34,-25,89,0,100,0,100,0,83,-33,-11,0,0,-100,66,0,-100,-38,42,1,0,0
-38,-100,0,0,0,99,-19,100,-68,0,0,63,0,-64,0,-83,0,-7,0,-76,0,0,0,100,0,-3,100,1,0
