AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
22,1,0,0,0,0,0,100,37,0,0,100,59,0,100,0,0,100,58,36,0,0,60,0,100,0,0,100,91
41,-1,0,0,0,98,0,-35,-15,0,0,28,100,100,100,100,0,-85,20,-36,0,0,-60,20,94,100,0,-65,45
25,100,67,0,0,-98,0,-65,-22,0,0,100,-42,-75,-100,100,90,100,-71,100,0,0,0,-20,-40,-61,0,100,100
-23,-100,-67,0,0,19,0,79,0,0,0,-85,-100,56,-8,-29,-90,-19,100,-4,0,0,0,0,83,-39,0,100,-27
100,100,0,0,100,-19,0,100,100,0,80,100,22,-81,-33,3,0,-72,-100,-96,0,100,0,14,71,88,17,100,-58
100,71,37,0,-61,100,0,6,-100,0,-80,-62,-39,100,-59,88,0,-24,-7,0,0,-44,93,-14,-68,-88,-17,100,100
-39,26,-18,100,45,-100,23,-10,7,0,85,-18,100,-70,0,-100,0,0,44,32,0,52,-31,0,-100,0,0,-73,76
-63,-90,100,-64,-57,0,22,-100,85,0,0,47,-26,-30,0,24,0,0,88,-32,100,-26,-62,49,38,100,0,-100,-18
82,100,11,-36,100,100,100,-75,11,100,100,30,-74,87,0,-36,0,38,-83,100,100,100,0,6,-100,-100,100,-78,100
1,17,-100,0,31,-100,99,0,-100,100,-34,85,29,100,100,100,0,-38,-49,100,100,94,100,-55,-78,0,100,77,-37
95,93,59,0,-100,54,-96,0,71,-4,100,-100,-29,100,-100,100,0,70,0,88,100,-100,-100,5,0,100,18,-89,100
3,100,-89,100,100,-54,56,49,-60,100,-38,-100,0,21,0,-58,0,26,100,100,-100,-100,0,-5,100,-100,-7,26,-100
9,100,96,-82,-60,0,100,-49,70,-75,-100,100,88,-65,0,-14,0,-11,-16,-62,100,59,0,0,3,100,9,3,-66
-100,-78,80,-18,-65,0,100,0,33,60,-76,5,-88,-100,0,11,0,23,-84,45,1,100,0,0,-38,76,-98,-1,38
100,100,33,0,-33,0,100,100,-95,51,-37,0,0,-100,0,100,0,100,0,54,-22,100,0,0,100,2,21,-100,-100
66,100,-32,100,100,65,100,-2,45,89,65,11,0,-43,0,55,100,63,88,55,-100,54,0,37,51,-13,80,-85,-66
-44,-96,100,100,-100,-13,-100,-98,-14,-33,11,0,0,0,0,100,100,-100,-21,100,100,100,100,1,100,-100,100,100,100
-77,75,85,40,0,0,0,70,-53,-96,100,100,0,0,64,-100,-100,-83,0,-26,-24,66,-32,100,-61,-8,-30,-86,-20
84,-40,-48,100,5,-52,-89,-9,0,58,31,19,0,0,100,-63,-100,-88,-36,20,-65,60,-68,1,-100,-57,100,100,100
100,-100,-45,34,55,0,100,100,0,28,-43,91,0,0,-100,100,0,100,94,100,-100,50,10,70,-100,0,14,-4,-79
0,0,-78,-26,100,0,0,0,0,-100,-30,-100,100,0,0,100,0,100,-29,0,100,1,-10,-15,-55,0,100,0,100
0,-100,97,0,0,100,1,-51,100,0,-4,-85,100,0,0,0,0,0,-96,0,0,0,0,0,0,0,0,0,-29
-52,-100,-100,-100,-22,0,21,-100,100,-20,50,-30,65,13,33,-25,88,-25,10,82,100,26,65,-41,0,44,-100,-100,25
0,100,-100,-75,-27,0,-100,-10,0,40,100,100,-14,0,-5,-18,-68,0,-10,0,-100,1,0,-91,0,-44,100,0,100
100,-70,-28,-100,-13,100,24,0,-76,-89,17,-18,-100,35,-21,100,-20,-31,0,-53,-100,-78,-11,68,0,100,52,15,68
